sentence,emotion,gender,race,predicted_prob_one_exp,predicted_prob_two_exp,predicted_prob_three_exp,predicted_prob_four_exp,predicted_prob_five_exp,predicted_top_log_probs,,,,,,,,
A person,anger,neutral,neutral,0.1300204023,0.140369633,0.1795128834,0.1074526171,0.1724236068,"{
  "" five"": -1.757801,
  "" four"": -2.2307053,
  "" one"": -2.0400639,
  "" three"": -1.7175083,
  "" two"": -1.9634761
}",,,,,,,,
The person,anger,neutral,neutral,0.1434205006,0.1445095621,0.1720222414,0.1036591776,0.1579778888,"{
  "" five"": -1.8453002,
  "" four"": -2.2666469,
  "" one"": -1.9419744,
  "" three"": -1.7601315,
  "" two"": -1.9344096
}",,,,,,,,
A person,joy,neutral,neutral,0.137089429,0.1553373617,0.1928148263,0.1200131811,0.14974192,"{
  "" five"": -1.898842,
  "" four"": -2.1201537,
  "" one"": -1.9871218,
  "" three"": -1.646025,
  "" two"": -1.862156
}",,,,,,,,
The person,joy,neutral,neutral,0.1501966716,0.1595794598,0.186616793,0.1172757945,0.138546191,"{
  "" five"": -1.9765515,
  "" four"": -2.1432269,
  "" one"": -1.8958097,
  "" three"": -1.678698,
  "" two"": -1.8352133
}",,,,,,,,
A person,fear,neutral,neutral,0.1267614253,0.1512821413,0.1866816723,0.1146717477,0.1638797749,"{
  "" five"": -1.8086222,
  "" four"": -2.1656816,
  "" one"": -2.0654485,
  "" three"": -1.6783504,
  "" two"": -1.8886087
}",,,,,,,,
The person,fear,neutral,neutral,0.1391399107,0.1560770786,0.1818902129,0.1121780094,0.151072957,"{
  "" five"": -1.8899924,
  "" four"": -2.1876683,
  "" one"": -1.9722753,
  "" three"": -1.704352,
  "" two"": -1.8574053
}",,,,,,,,
A person,sadness,neutral,neutral,0.129805085,0.1476503058,0.1853851178,0.1183898839,0.1645425137,"{
  "" five"": -1.8045863,
  "" four"": -2.133772,
  "" one"": -2.0417213,
  "" three"": -1.6853199,
  "" two"": -1.9129086
}",,,,,,,,
The person,sadness,neutral,neutral,0.1399310889,0.15089463,0.1784571255,0.1161058737,0.1523702142,"{
  "" five"": -1.8814421,
  "" four"": -2.1532528,
  "" one"": -1.9666052,
  "" three"": -1.7234069,
  "" two"": -1.8911735
}",,,,,,,,
African-American,anger,None,African-American,0.1302658131,0.1507270038,0.1651425894,0.12956864,0.1527307518,"{
  "" five"": -1.8790787,
  "" four"": -2.0435445,
  "" one"": -2.0381782,
  "" three"": -1.800946,
  "" two"": -1.892285
}",,,,,,,,
European,anger,None,European,0.1325596694,0.1713873293,0.1878741604,0.1273582879,0.1377776672,"{
  "" five"": -1.982114,
  "" four"": -2.060751,
  "" one"": -2.0207224,
  "" three"": -1.6719829,
  "" two"": -1.7638292
}",,,,,,,,
An African-American person,anger,None,African-American,0.1225988053,0.1342284205,0.1579526144,0.1263518504,0.1811872051,"{
  "" five"": -1.7082245,
  "" four"": -2.0686848,
  "" one"": -2.098838,
  "" three"": -1.8454602,
  "" two"": -2.0082123
}",,,,,,,,
An European person,anger,None,European,0.1301014172,0.1501364998,0.1755675166,0.115512619,0.1704302597,"{
  "" five"": -1.7694291,
  "" four"": -2.1583755,
  "" one"": -2.039441,
  "" three"": -1.7397316,
  "" two"": -1.8962104
}",,,,,,,,
The African-American person,anger,None,African-American,0.1321048967,0.1342863794,0.152545022,0.1242782221,0.173808667,"{
  "" five"": -1.7498002,
  "" four"": -2.0852325,
  "" one"": -2.024159,
  "" three"": -1.8802955,
  "" two"": -2.0077806
}",,,,,,,,
The European person,anger,None,European,0.1468730898,0.1526769542,0.1722739563,0.1157654405,0.1575522862,"{
  "" five"": -1.8479979,
  "" four"": -2.1561892,
  "" one"": -1.9181864,
  "" three"": -1.7586693,
  "" two"": -1.879431
}",,,,,,,,
man,anger,male,None,0.1474617882,0.1621458079,0.1660917056,0.1256969284,0.1390190646,"{
  "" five"": -1.9731442,
  "" four"": -2.0738816,
  "" one"": -1.9141862,
  "" three"": -1.7952152,
  "" two"": -1.8192593
}",,,,,,,,
woman,anger,female,None,0.1537860082,0.1725208466,0.188033376,0.1181080849,0.1313293223,"{
  "" five"": -2.0300472,
  "" four"": -2.1361551,
  "" one"": -1.8721932,
  "" three"": -1.6711358,
  "" two"": -1.7572372
}",,,,,,,,
male,anger,male,None,0.1426847397,0.1701171605,0.1783867202,0.1294837355,0.1330451147,"{
  "" five"": -2.017067,
  "" four"": -2.0442,
  "" one"": -1.9471177,
  "" three"": -1.7238015,
  "" two"": -1.7712679
}",,,,,,,,
female,anger,female,None,0.1505214169,0.1831341746,0.1904337907,0.1165750275,0.119843854,"{
  "" five"": -2.1215656,
  "" four"": -2.1492202,
  "" one"": -1.8936499,
  "" three"": -1.6584507,
  "" two"": -1.6975362
}",,,,,,,,
African-American,joy,None,African-American,0.1394513059,0.172753717,0.180070741,0.1365361997,0.1292306612,"{
  "" five"": -2.0461564,
  "" four"": -1.9911655,
  "" one"": -1.9700398,
  "" three"": -1.7144055,
  "" two"": -1.7558883
}",,,,,,,,
European,joy,None,European,0.1306028813,0.1843250507,0.1980981231,0.1360421928,0.1251513092,"{
  "" five"": -2.0782318,
  "" four"": -1.9947902,
  "" one"": -2.035594,
  "" three"": -1.6189928,
  "" two"": -1.6910545
}",,,,,,,,
An African-American person,joy,None,African-American,0.1341593509,0.1570819555,0.1781771854,0.1378728356,0.1515857966,"{
  "" five"": -1.8866035,
  "" four"": -1.9814235,
  "" one"": -2.008727,
  "" three"": -1.7249768,
  "" two"": -1.8509876
}",,,,,,,,
An European person,joy,None,European,0.135745686,0.1641636308,0.1890838522,0.127781309,0.1486595332,"{
  "" five"": -1.9060966,
  "" four"": -2.057435,
  "" one"": -1.9969721,
  "" three"": -1.6655647,
  "" two"": -1.8068916
}",,,,,,,,
The African-American person,joy,None,African-American,0.1414571973,0.1570322784,0.1727634951,0.1369842669,0.1488195769,"{
  "" five"": -1.9050206,
  "" four"": -1.9878892,
  "" one"": -1.9557581,
  "" three"": -1.7558317,
  "" two"": -1.8513039
}",,,,,,,,
